# model=controlled solid-fluid-solid sphere
# quantity=maximum absolute relative DSpecM1D-gia3D difference over h_u,k_u,h_phi,k_phi,h_load,k_load,h_t,k_t
# resolution=five GLL nodes per element; total element count N
# source=compare_controlled_sphere.py
model,elements,degree,maximum_relative_difference,maximum_dspec_residual,maximum_gia3d_residual,absolute_dspec_reciprocity_error,absolute_gia3d_reciprocity_error
solid-fluid-solid,8,1,6.27008724682786206e-06,1.32642304958006080e-13,8.54853524155224107e-14,0.00000000000000000e+00,0.00000000000000000e+00
solid-fluid-solid,8,2,5.85704398770347992e-06,6.36693118379027942e-13,9.09807793471693181e-13,2.08986438815955588e-14,2.23513747658321695e-16
solid-fluid-solid,8,10,7.41027027916079342e-07,2.28215499338375885e-14,2.68372399373811307e-14,9.62571096847086425e-14,1.14591873591387324e-16
solid-fluid-solid,16,1,4.91296229034227904e-07,2.32723194703163105e-13,2.62215910836557843e-13,0.00000000000000000e+00,0.00000000000000000e+00
solid-fluid-solid,16,2,4.58869603647753274e-07,1.70096319674864713e-12,1.94791117836513613e-12,3.13591364211452549e-13,1.11757388367793852e-16
solid-fluid-solid,16,10,4.05684736834007385e-08,7.96820926722353902e-14,8.67981462071868439e-14,5.34109981650286272e-13,2.29182579331456739e-16
solid-fluid-solid,32,1,3.45767281221634511e-08,6.40591308026556104e-13,7.27482525229374992e-13,0.00000000000000000e+00,0.00000000000000000e+00
solid-fluid-solid,32,2,3.22932085603306747e-08,5.20927224502967422e-12,4.65374860074037879e-12,5.48729008150509475e-14,1.11757432098684675e-16
solid-fluid-solid,32,10,2.37805059396163184e-09,1.72360131889301546e-13,2.07022618369850310e-13,5.12566808666584714e-13,2.29182566404071526e-16
solid-fluid-solid,64,1,2.29877520868858016e-09,1.98100756868839632e-12,2.15803433104378012e-12,0.00000000000000000e+00,0.00000000000000000e+00
solid-fluid-solid,64,2,2.14461178930386425e-09,1.47357429536423368e-11,1.67880235884070611e-11,1.32991348206948464e-14,1.11757435242932362e-16
solid-fluid-solid,64,10,1.45223609285219526e-10,4.50164470233212818e-13,5.05446260911783533e-13,2.69037414100136944e-12,2.29182565922118632e-16
solid-fluid-solid,128,1,1.66540171239827864e-10,5.50169455916062417e-12,6.13908246560574729e-12,0.00000000000000000e+00,0.00000000000000000e+00
solid-fluid-solid,128,2,1.44839850715472163e-10,4.34354726700816475e-11,4.33420265405215870e-11,4.74969100741400956e-14,0.00000000000000000e+00
solid-fluid-solid,128,10,1.31960199930550483e-11,1.30000209628062732e-12,1.43903118969902013e-12,1.37509539535369845e-15,3.43773848842395689e-16
solid-fluid-solid,256,1,1.44987570646979686e-11,1.49724585144516484e-11,1.65429943285551488e-11,0.00000000000000000e+00,0.00000000000000000e+00
solid-fluid-solid,256,2,3.37271012425876554e-11,1.32168339050146298e-10,1.24884656219483960e-10,7.78725810370897951e-13,0.00000000000000000e+00
solid-fluid-solid,256,10,1.58489985428572768e-11,3.62285979383601694e-12,3.70735171103310679e-12,3.43773848838576064e-15,1.14591282947725324e-16
