# model=12.5 km paired isotropized PREM decks and analytic PREM
# quantity=DOF count, maximum three-column solve residual, and absolute reciprocity error
# source=compare_isotropic_prem.py
knot_spacing,radial_step,implementation,degree,dofs,maximum_residual,absolute_reciprocity_error
12.5km,0.0025,analytic,1,3616,3.20436216203465849e-11,0.00000000000000000e+00
12.5km,0.0025,gia3d,1,3616,3.37848700798199811e-11,0.00000000000000000e+00
12.5km,0.0025,dspec,1,3728,3.36656406598794517e-11,0.00000000000000000e+00
12.5km,0.0025,analytic,2,3617,2.11066206526000037e-10,3.35591322690799869e-16
12.5km,0.0025,gia3d,2,3617,2.08920869675317818e-10,0.00000000000000000e+00
12.5km,0.0025,dspec,2,3729,2.41994662826046159e-10,2.48840965567257431e-13
12.5km,0.0025,analytic,10,3617,4.73580753614631972e-12,3.50340312809163249e-16
12.5km,0.0025,gia3d,10,3617,4.96415647829057871e-12,0.00000000000000000e+00
12.5km,0.0025,dspec,10,3729,4.97477510086128680e-12,1.33129319430886456e-14
12.5km,0.0025,analytic,50,3617,8.75263467598428001e-13,2.84087657032392862e-16
12.5km,0.0025,gia3d,50,3617,7.90585462356405275e-13,1.42043844442061987e-16
12.5km,0.0025,dspec,50,3729,1.17544186038228733e-12,9.72574144593438401e-13
