# model=12.5 km paired isotropized PREM decks and pinned analytic gia3D PREM
# quantity=signed and relative response differences at radial step 0.0025
# source=compare_isotropic_prem.py
direction,knot_spacing,radial_step,degree,component,signed_difference,relative_difference
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,1,h_u,-4.77291527156177564e-12,-2.04586745173447220e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,1,h_u,3.37732356729507355e-12,1.44765952612793376e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,1,h_u,-1.39559170426670209e-12,-5.98207895989343309e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,1,k_u,0.00000000000000000e+00,0.00000000000000000e+00
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,1,k_u,0.00000000000000000e+00,0.00000000000000000e+00
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,1,k_u,0.00000000000000000e+00,0.00000000000000000e+00
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,1,h_phi,-0.00000000000000000e+00,0.00000000000000000e+00
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,1,h_phi,0.00000000000000000e+00,0.00000000000000000e+00
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,1,h_phi,-0.00000000000000000e+00,0.00000000000000000e+00
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,1,k_phi,0.00000000000000000e+00,0.00000000000000000e+00
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,1,k_phi,0.00000000000000000e+00,0.00000000000000000e+00
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,1,k_phi,0.00000000000000000e+00,0.00000000000000000e+00
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,1,h_load,-4.77291527156177564e-12,-2.04586745173447220e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,1,h_load,3.37732356729507355e-12,1.44765952612793376e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,1,h_load,-1.39559170426670209e-12,-5.98207895989343309e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,1,k_load,0.00000000000000000e+00,0.00000000000000000e+00
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,1,k_load,0.00000000000000000e+00,0.00000000000000000e+00
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,1,k_load,0.00000000000000000e+00,0.00000000000000000e+00
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,1,h_t,2.78284159604957892e-10,2.73432339428980429e-09
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,1,h_t,-1.86919382749728413e-10,-1.83660486735218393e-09
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,1,h_t,9.13647768552294792e-11,8.97718531959492173e-10
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,1,k_t,0.00000000000000000e+00,0.00000000000000000e+00
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,1,k_t,0.00000000000000000e+00,0.00000000000000000e+00
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,1,k_t,0.00000000000000000e+00,0.00000000000000000e+00
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,2,h_u,-8.67145808283731334e-12,-4.97687394332729763e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,2,h_u,6.30964586676753536e-12,3.62134149398762826e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,2,h_u,-2.36181221606977798e-12,-1.35553226911006813e-08
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,2,k_u,1.50871189456489030e-11,2.33494566098646345e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,2,k_u,-1.45472596642381991e-11,-2.25139472883388382e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,2,k_u,5.39859281410703939e-13,8.35508795837361087e-10
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,2,h_phi,1.53333584978349036e-12,2.33168106248938935e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,2,h_phi,-1.36194679666024054e-12,-2.07105670200704426e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,2,h_phi,1.71389053123249813e-13,2.60624312191908190e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,2,k_phi,-4.67017375292699821e-12,-3.36787211567574151e-09
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,2,k_phi,6.53706602737891274e-12,4.71417198864497025e-09
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,2,k_phi,1.86689227445191452e-12,1.34629988884595723e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,2,h_load,-7.13812223305382298e-12,-6.58048680849937181e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,2,h_load,4.94769907010729482e-12,4.56118092619087750e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,2,h_load,-2.19042316294652817e-12,-2.01930558216058539e-08
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,2,k_load,1.04169451927219048e-11,1.40666978282649641e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,2,k_load,-8.01019363685928631e-12,-1.08167003444645551e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,2,k_load,2.40675155586261846e-12,3.24999763595566457e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,2,h_t,-1.43629554083535282e-09,-2.33235227988499619e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,2,h_t,1.27510931674512662e-09,2.07060731992766707e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,2,h_t,-1.61186224090226204e-10,-2.61744911663472249e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,2,k_t,4.38102421007613430e-09,1.46742972844855560e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,2,k_t,-6.11589318078031852e-09,-2.04852629323610664e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,2,k_t,-1.73486897070418422e-09,-5.81096594848234670e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,10,h_u,-5.43626413687398752e-12,-1.39204235170794174e-07
