# model=pinned gia3D analytic no-ocean PREM and paired isotropized sampled decks
# quantity=maximum absolute relative difference over degrees 1,2,10,50 and eight response components
# resolution=radial step 0.0025; five GLL nodes
# source=compare_isotropic_prem.py
knot_spacing_km,direction,maximum_relative_difference
1.00000000000000000e+02,dspec_sampled_minus_gia3d_sampled,2.26984280471617401e-05
1.00000000000000000e+02,gia3d_sampled_minus_gia3d_analytic,2.14719311728345843e-05
1.00000000000000000e+02,dspec_sampled_minus_gia3d_analytic,3.07858645897034978e-06
5.00000000000000000e+01,dspec_sampled_minus_gia3d_sampled,5.75374080671818957e-06
5.00000000000000000e+01,gia3d_sampled_minus_gia3d_analytic,5.87867987246145082e-06
5.00000000000000000e+01,dspec_sampled_minus_gia3d_analytic,2.57734765223767357e-06
2.50000000000000000e+01,dspec_sampled_minus_gia3d_sampled,1.02153498931376881e-06
2.50000000000000000e+01,gia3d_sampled_minus_gia3d_analytic,1.04631412683510846e-06
2.50000000000000000e+01,dspec_sampled_minus_gia3d_analytic,3.68431448477440427e-07
1.25000000000000000e+01,dspec_sampled_minus_gia3d_sampled,1.55399226644410464e-07
1.25000000000000000e+01,gia3d_sampled_minus_gia3d_analytic,1.59631209991696750e-07
1.25000000000000000e+01,dspec_sampled_minus_gia3d_analytic,5.24823617544042951e-08
