Phase;Distance_deg;TravelTime_s;RayParam_sec_deg
sSv660sScS;110.3518;1993.8394;479.0314
sSv660sScS;109.4472;1986.2775;478.9620
sSv660sScS;108.5427;1978.7162;478.9585
sSv660sScS;107.6382;1971.1556;478.8440
sSv660sScS;106.7337;1963.5967;478.7396
sSv660sScS;105.8291;1956.0400;478.5865
sSv660sScS;104.9246;1948.4858;478.3973
sSv660sScS;104.0201;1940.9348;478.1751
sSv660sScS;103.1156;1933.3877;477.9517
sSv660sScS;102.2111;1925.8448;477.6283
sSv660sScS;101.3065;1918.3068;477.2958
sSv660sScS;100.4020;1910.7744;476.9316
sSv660sScS;99.4975;1903.2481;476.5226
sSv660sScS;98.5930;1895.7285;476.0841
sSv660sScS;97.6884;1888.2164;475.5841
sSv660sScS;96.7839;1880.7124;475.0528
sSv660sScS;95.8794;1873.2172;474.4783
sSv660sScS;94.9749;1865.7315;473.8786
sSv660sScS;94.0704;1858.2559;473.1789
sSv660sScS;93.1658;1850.7913;472.4877
sSv660sScS;92.2613;1843.3384;471.7208
sSv660sScS;91.3568;1835.8980;470.8824
sSv660sScS;90.4523;1828.4708;470.0432
sSv660sScS;89.5477;1821.0578;469.1040
sSv660sScS;88.6432;1813.6596;468.1604
sSv660sScS;87.7387;1806.2772;467.1087
sSv660sScS;86.8342;1798.9114;466.0089
sSv660sScS;85.9296;1791.5631;464.8900
sSv660sScS;85.0251;1784.2332;463.6880
sSv660sScS;84.1206;1776.9226;462.4330
sSv660sScS;83.2161;1769.6323;461.1203
sSv660sScS;82.3116;1762.3631;459.7596
sSv660sScS;81.4070;1755.1162;458.3484
sSv660sScS;80.5025;1747.8924;456.8329
sSv660sScS;79.5980;1740.6928;455.2622
sSv660sScS;78.6935;1733.5184;453.6202
sSv660sScS;77.7889;1726.3702;451.9402
sSv660sScS;76.8844;1719.2494;450.1838
sSv660sScS;75.9799;1712.1569;448.3274
sSv660sScS;75.0754;1705.0939;446.4316
sSv660sScS;74.1709;1698.0615;444.4486
sSv660sScS;73.2663;1691.0607;442.4068
sSv660sScS;72.3618;1684.0929;440.2957
sSv660sScS;71.4573;1677.1590;438.1296
sSv660sScS;70.5528;1670.2604;435.8411
sSv660sScS;69.6482;1663.3982;433.5214
sSv660sScS;68.7437;1656.5735;431.0744
sSv660sScS;67.8392;1649.7877;428.5778
sSv660sScS;66.9347;1643.0420;425.9867
sSv660sScS;66.0302;1636.3376;423.3684
sSv660sScS;65.1256;1629.6758;420.5842
sSv660sScS;64.2211;1623.0579;417.8036
sSv660sScS;63.3166;1616.4853;414.8729
sSv660sScS;62.4121;1609.9591;411.9070
sSv660sScS;61.5075;1603.4808;408.8097
sSv660sScS;60.6030;1597.0517;405.6482
sSv660sScS;59.6985;1590.6732;402.3884
sSv660sScS;58.7940;1584.3466;399.0728
sSv660sScS;57.8894;1578.0733;395.6488
sSv660sScS;56.9849;1571.8548;392.1213
sSv660sScS;56.0804;1565.6924;388.5375
sSv660sScS;55.1759;1559.5875;384.8707
sSv660sScS;54.2714;1553.5416;381.0619
sSv660sScS;53.3668;1547.5561;377.1847
sSv660sScS;52.4623;1541.6325;373.2179
sSv660sScS;51.5578;1535.7723;369.1599
sSv660sScS;50.6533;1529.9768;365.0094
sSv660sScS;49.7487;1524.2476;360.7754
sSv660sScS;48.8442;1518.5862;356.4276
sSv660sScS;47.9397;1512.9940;351.9950
sSv660sScS;47.0352;1507.4725;347.4698
sSv660sScS;46.1307;1502.0233;342.8526
sSv660sScS;45.2261;1496.6478;338.1320
sSv660sScS;44.3216;1491.3475;333.3217
sSv660sScS;43.4171;1486.1239;328.4128
sSv660sScS;42.5126;1480.9786;323.4141
sSv660sScS;41.6080;1475.9130;318.3100
sSv660sScS;40.7035;1470.9287;313.1173
sSv660sScS;39.7990;1466.0270;307.8309
sSv660sScS;38.8945;1461.2096;302.4537
sSv660sScS;37.9899;1456.4779;296.9742
sSv660sScS;37.0854;1451.8333;291.4066
sSv660sScS;36.1809;1447.2774;285.7414
sSv660sScS;35.2764;1442.8117;279.9921
sSv660sScS;34.3719;1438.4375;274.1418
sSv660sScS;33.4673;1434.1563;268.2013
