config	kind	threshold	panel	relax	maxsuper	system	family	freq	n	nnz_a	factor_s	solve_s	nnz_l	nnz_u	nonidentity_pivots	pivot_fraction	max_pivot_displacement	factor_info	solve_info	discrepancy	residual	finite	repeats
pivot_1	pivot	1	16	1	128	radial_small	radial	0.17999999999999999	104	1024	6.3221500000000004e-05	1.14345e-05	564	930	100	0.96153846153846156	102	0	0	0	1.0009255313437571e-22	1	4
pivot_1	pivot	1	16	1	128	radial_small	radial	0.40999999999999998	104	1024	6.1268749999999995e-05	1.1387e-05	564	930	100	0.96153846153846156	102	0	0	0	8.1573198225628383e-23	1	4
pivot_1	pivot	1	16	1	128	radial_small	radial	0.67000000000000004	104	1024	6.1381499999999995e-05	1.122175e-05	564	930	100	0.96153846153846156	102	0	0	0	1.4693799092463748e-22	1	4
pivot_1	pivot	1	16	1	128	radial_small	radial	1.05	104	1024	6.1323999999999998e-05	1.1211499999999999e-05	564	930	100	0.96153846153846156	102	0	0	0	1.0554311418022949e-22	1	4
pivot_1	pivot	1	16	1	128	radial_small	radial	0.5	104	1024	6.1298750000000007e-05	1.1311999999999999e-05	564	930	99	0.95192307692307687	101	0	0	0	1.3348106401700182e-22	1	4
pivot_1	pivot	1	16	1	128	radial_small	radial	0.14999999999999999	104	1024	6.10035e-05	1.1219249999999999e-05	564	930	100	0.96153846153846156	102	0	0	0	6.7767707625599675e-23	1	4
pivot_1	pivot	1	16	1	128	toroidal_small	toroidal	0.17999999999999999	37	181	1.2496e-05	3.1644999999999999e-06	109	109	19	0.51351351351351349	2	0	0	0	6.988201161127041e-17	1	4
pivot_1	pivot	1	16	1	128	toroidal_small	toroidal	0.40999999999999998	37	181	1.195275e-05	3.1070000000000001e-06	109	109	19	0.51351351351351349	2	0	0	0	4.5405119069854345e-17	1	4
pivot_1	pivot	1	16	1	128	toroidal_small	toroidal	0.67000000000000004	37	181	1.1915250000000001e-05	3.08225e-06	109	109	19	0.51351351351351349	2	0	0	0	1.0183205480076424e-16	1	4
pivot_1	pivot	1	16	1	128	toroidal_small	toroidal	1.05	37	181	1.18375e-05	3.067e-06	109	109	19	0.51351351351351349	2	0	0	0	9.0355074117156169e-17	1	4
pivot_1	pivot	1	16	1	128	toroidal_small	toroidal	0.20000000000000001	37	181	1.188775e-05	3.0595000000000001e-06	109	109	19	0.51351351351351349	2	0	0	0	1.3321088766132244e-16	1	4
pivot_1	pivot	1	16	1	128	toroidal_small	toroidal	0.10000000000000001	37	181	1.2005500000000001e-05	3.1395000000000002e-06	109	109	19	0.51351351351351349	2	0	0	0	6.5223763894321822e-17	1	4
pivot_1	pivot	1	16	1	128	spheroidal_small	spheroidal	0.17999999999999999	158	1906	0.00013109275000000001	2.0077250000000002e-05	1236	1805	152	0.96202531645569622	61	0	0	0	2.6636940287834302e-23	1	4
pivot_1	pivot	1	16	1	128	spheroidal_small	spheroidal	0.40999999999999998	158	1906	0.00012175624999999999	1.9854500000000001e-05	1236	1805	152	0.96202531645569622	61	0	0	0	3.4437241584060326e-23	1	4
pivot_1	pivot	1	16	1	128	spheroidal_small	spheroidal	0.67000000000000004	158	1906	0.00012150574999999999	1.9656750000000001e-05	1236	1805	152	0.96202531645569622	61	0	0	0	4.2532697733492492e-23	1	4
pivot_1	pivot	1	16	1	128	spheroidal_small	spheroidal	1.05	158	1906	0.00012552175	1.9879500000000002e-05	1236	1814	150	0.94936708860759489	61	0	0	0	3.7600870833029425e-23	1	4
