family	name	degree	mode_mhz	freq_mhz	grid_offset	stencil_member	response_class	epsilon	attenuation	threshold	n	nnz_a	max_abs_a	factor_info	solve_info	finite	min_abs_diag_u	max_abs_diag_u	max_abs_u	max_abs_l	growth_u_over_a	nonidentity_pivots	pivot_fraction	max_pivot_displacement	residual	solution_vs_threshold1	solution_abs_vs_threshold1	transfer_norm	transfer_abs_error_vs_threshold1	transfer_relative_error_vs_threshold1	local_response_scale	local_response_normalized_error	transfer_max_row	transfer_max_col	transfer_re	transfer_im	threshold1_transfer_re	threshold1_transfer_im	lapack_transfer_re	lapack_transfer_im	transfer_component_abs_error_vs_threshold1	lapack_factor_info	lapack_solve_info	lapack_finite	lapack_residual	lapack_solution_vs_threshold1	lapack_solution_abs_vs_threshold1	lapack_transfer_abs_error_vs_threshold1	lapack_transfer_relative_error_vs_threshold1	solution_vs_lapack	transfer_abs_error_vs_lapack	transfer_relative_error_vs_lapack
radial	radial_0S0	0	0.81466349999999998	0.762939453125	-2	1	antiresonance	0.32294014437366447	1	1	282	3924	1643838112715620.8	0	0	1	378.08676962238661	1034090841828161.5	1640119718220809.2	0.99999999752822133	0.99773798011735548	278	0.98581560283687941	279	6.0143777825917121e-21	0	0	5.5820762779531001e-13	0	0	1.1527089827410472e-12	0	0	0	1.0200108249644198e-13	-5.4880919717003782e-13	1.0200108249644198e-13	-5.4880919717003782e-13	1.0200108263836919e-13	-5.488091971508916e-13	0	0	0	1	4.8439239466410924e-21	1.6015016803709968e-08	8.762864431845967e-16	1.4321281559039977e-22	2.5655832786812922e-10	1.6015016678798489e-08	1.4321281559039977e-22	2.5655832786486113e-10
radial	radial_0S0	0	0.81466349999999998	0.762939453125	-2	1	antiresonance	0.32294014437366447	1	0.10000000000000001	282	3924	1643838112715620.8	0	0	1	378.08676962238638	1034090841828161.5	1640119718220809.2	8.1783994290076514	0.99773798011735548	181	0.64184397163120566	280	3.5393925547758235e-21	7.7071562359894945e-08	4.2170898775071476e-15	5.5820762789510523e-13	1.2186585464092533e-22	2.1831635501335803e-10	1.1527089827410472e-12	1.0572126743658953e-10	0	0	1.0200108258344425e-13	-5.4880919725537182e-13	1.0200108249644198e-13	-5.4880919717003782e-13	1.0200108263836919e-13	-5.488091971508916e-13	1.2186585464092533e-22	0	0	1	4.8439239466410924e-21	1.6015016803709968e-08	8.762864431845967e-16	1.4321281559039977e-22	2.5655832786812922e-10	6.5743297302057018e-08	1.1803756055301383e-22	2.1145816480098984e-10
radial	radial_0S0	0	0.81466349999999998	0.762939453125	-2	1	antiresonance	0.32294014437366447	1	0.01	282	3924	1643838112715620.8	0	0	1	252.74805716620361	1034090841828161.5	1640119718220809.2	90.887431326837557	0.99773798011735548	144	0.51063829787234039	279	4.1754445515017785e-21	4.3985880348462005e-08	2.4067555540727268e-15	5.5820762741766389e-13	3.9909300750519158e-22	7.1495441415131571e-10	1.1527089827410472e-12	3.4622182483230173e-10	0	0	1.0200108255432983e-13	-5.488091967751654e-13	1.0200108249644198e-13	-5.4880919717003782e-13	1.0200108263836919e-13	-5.488091971508916e-13	3.9909300750519158e-22	0	0	1	4.8439239466410924e-21	1.6015016803709968e-08	8.762864431845967e-16	1.4321281559039977e-22	2.5655832786812922e-10	3.0895685440793322e-08	3.8501011301370026e-22	6.8972563941741025e-10
radial	radial_0S0	0	0.81466349999999998	0.79345703125	-1	1	flank	0.32294014437366447	1	1	282	3924	1643868555435851.2	0	0	1	378.07471954313445	1034110030992414	1640150092079004.5	0.99999998440920945	0.99773798011735748	279	0.98936170212765961	280	7.0235006319950994e-21	0	0	8.9853802502839768e-13	0	0	1.1527089827410472e-12	0	0	0	-6.8815892526012917e-14	-8.9589896492728553e-13	-6.8815892526012917e-14	-8.9589896492728553e-13	-6.8815892683841025e-14	-8.958989650059829e-13	0	0	0	1	4.110057802358783e-21	2.2780083167624739e-08	1.5935024317587403e-15	1.7636039158637806e-22	1.9627482273864183e-10	2.2780082653143991e-08	1.7636039158637806e-22	1.9627482271886146e-10
radial	radial_0S0	0	0.81466349999999998	0.79345703125	-1	1	flank	0.32294014437366447	1	0.10000000000000001	282	3924	1643868555435851.2	0	0	1	378.07471954313525	1034110030992414	1640150092079004.5	8.1795142869695194	0.99773798011735748	180	0.63829787234042556	279	2.9103450299754746e-21	2.7741798226038537e-08	1.9405821571968432e-15	8.9853802415611452e-13	1.0539114269301576e-21	1.1729180041065591e-09	1.1527089827410472e-12	9.1429098125360563e-10	0	0	-6.881589186946259e-14	-8.9589896410286394e-13	-6.8815892526012917e-14	-8.9589896492728553e-13	-6.8815892683841025e-14	-8.958989650059829e-13	1.0539114269301576e-21	0	0	1	4.110057802358783e-21	2.2780083167624739e-08	1.5935024317587403e-15	1.7636039158637806e-22	1.9627482273864183e-10	1.0551010821546658e-08	1.2160740509841785e-21	1.3533918621008729e-09
radial	radial_0S0	0	0.81466349999999998	0.79345703125	-1	1	flank	0.32294014437366447	1	0.01	282	3924	1643868555435851.2	0	0	1	252.73761596021623	1034110030992414	1640150092079004.5	90.89787694018797	0.99773798011735748	145	0.51418439716312059	280	4.362105197260301e-21	1.9721038195762705e-08	1.3795174534927557e-15	8.9853802507297809e-13	4.5931064836560745e-23	5.1117552688000181e-11	1.1527089827410472e-12	3.9846193205973333e-11	0	0	-6.8815892540451382e-14	-8.9589896497088821e-13	-6.8815892526012917e-14	-8.9589896492728553e-13	-6.8815892683841025e-14	-8.958989650059829e-13	4.5931064836560745e-23	0	0	1	4.110057802358783e-21	2.2780083167624739e-08	1.5935024317587403e-15	1.7636039158637806e-22	1.9627482273864183e-10	4.0501958512771994e-09	1.4762190685456806e-22	1.6429121832103366e-10
radial	radial_0S0	0	0.81466349999999998	0.823974609375	0	1	resonance	0.32294014437366447	1	1	282	3924	1643897844380683.5	0	0	1	378.0621939571156	1034128495861978.9	1640179314771664.8	0.99999999290533081	0.99773798011735959	279	0.98936170212765961	280	5.1149978966708273e-21	0	0	1.1527089827410472e-12	0	0	1.1527089827410472e-12	0	0	0	-5.7985598350907985e-13	-9.9624547039402766e-13	-5.7985598350907985e-13	-9.9624547039402766e-13	-5.7985598710048622e-13	-9.962454693842441e-13	0	0	0	1	4.8361629902323949e-21	2.4363302147766011e-08	1.8016259467133996e-15	3.7306651678475916e-21	3.2364328062893865e-09	2.4363302735078225e-08	3.7306651678475916e-21	3.23643280366732e-09
radial	radial_0S0	0	0.81466349999999998	0.823974609375	0	1	resonance	0.32294014437366447	1	0.10000000000000001	282	3924	1643897844380683.5	0	0	1	378.0621939571156	1034128495861978.9	1640179314771664.8	8.1806642988221032	0.99773798011735959	181	0.64184397163120566	280	3.7450412472141641e-21	4.2670397643447197e-08	3.1554054160947107e-15	1.1527089836010441e-12	3.3475898237762594e-21	2.9041066512867506e-09	1.1527089827410472e-12	2.9041066512867506e-09	0	0	-5.7985598673779176e-13	-9.962454695098461e-13	-5.7985598350907985e-13	-9.9624547039402766e-13	-5.7985598710048622e-13	-9.962454693842441e-13	3.3475898237762594e-21	0	0	1	4.8361629902323949e-21	2.4363302147766011e-08	1.8016259467133996e-15	3.7306651678475916e-21	3.2364328062893865e-09	6.6969225539926426e-08	3.8382696394472285e-22	3.3297820124646561e-10
radial	radial_0S0	0	0.81466349999999998	0.823974609375	0	1	resonance	0.32294014437366447	1	0.01	282	3924	1643897844380683.5	0	0	1	252.72675888289064	1034128495861978.9	1640179314771664.8	90.908736912298195	0.99773798011735959	144	0.51063829787234039	279	8.1848225556051299e-21	3.4001680540283578e-08	2.5143681066588114e-15	1.1527089837078534e-12	3.7893304966301566e-21	3.2873262491799448e-09	1.1527089827410472e-12	3.2873262491799448e-09	0	0	-5.7985598716201596e-13	-9.962454693865142e-13	-5.7985598350907985e-13	-9.9624547039402766e-13	-5.7985598710048622e-13	-9.962454693842441e-13	3.7893304966301566e-21	0	0	1	4.8361629902323949e-21	2.4363302147766011e-08	1.8016259467133996e-15	3.7306651678475916e-21	3.2364328062893865e-09	1.0068598525818406e-08	6.1571599734938147e-23	5.3414695822567777e-11
radial	radial_0S0	0	0.81466349999999998	0.8544921875	1	1	flank	0.32294014437366447	1	1	282	3924	1643926063315067.8	0	0	1	378.04919308693957	1034146289130927.2	1640207469874261.5	0.99999997918672279	0.99773798011736159	279	0.98936170212765961	280	6.2733787580958844e-21	0	0	1.1209152785712129e-12	0	0	1.1527089827410472e-12	0	0	0	-8.957294911077477e-13	-6.7388407051527429e-13	-8.957294911077477e-13	-6.7388407051527429e-13	-8.9572949081060498e-13	-6.7388407115990779e-13	0	0	0	1	4.5760494241769398e-21	5.2471592715412693e-08	3.2050651224206634e-15	7.0982121159164436e-22	6.3325143760768951e-10	5.2471590283295625e-08	7.0982121159164436e-22	6.3325143752289212e-10
