system	family	n	nnz_union_off	nnz_union_on	kl	ku	attenuation	current_s	direct_s	speedup	structure_ok	max_coeff_diff	max_relative_coeff_diff	current_analyze_completed	current_factorize_info	current_solve_info	direct_analyze_completed	direct_factorize_info	direct_solve_info	solve_discrepancy	residual
radial_small	radial	104	1024	1024	7	7	0	0.00053650200000000001	0.00022131700000000001	2.4241337086622354	1	0	0	1	0	0	1	0	0	0	1.1938381675550655e-22
radial_small	radial	104	1024	1024	7	7	1	0.00137827	0.00030427499999999974	4.5296853175581342	1	0	0	1	0	0	1	0	0	0	1.2320148625436473e-22
toroidal_small	toroidal	37	181	181	3	3	0	0.00010755	3.9980999999999995e-05	2.6900277631875142	1	0	0	1	0	0	1	0	0	0	9.2199244886391001e-17
toroidal_small	toroidal	37	181	181	3	3	1	0.00029231400000000006	5.5418999999999958e-05	5.2746170086071613	1	0	0	1	0	0	1	0	0	0	5.1813153204787756e-17
spheroidal_small	spheroidal	158	1906	1906	12	12	0	0.00092316499999999999	0.00041049899999999993	2.248884893751264	1	0	0	1	0	0	1	0	0	0	5.1139247648707996e-23
spheroidal_small	spheroidal	158	1906	1906	12	12	1	0.0024832270000000002	0.00056386799999999981	4.4039154553902708	1	0	0	1	0	0	1	0	0	0	4.3118195401862938e-23
radial_large	radial	572	7984	7984	11	11	0	0.0037595869999999996	0.0016972379999999996	2.2151206843118056	1	0	0	1	0	0	1	0	0	0	2.4230310569917584e-22
radial_large	radial	572	7984	7984	11	11	1	0.009975676000000001	0.0023768900000000004	4.1969447471275485	1	0	0	1	0	0	1	0	0	0	9.1976366863167955e-23
toroidal_large	toroidal	146	1016	1016	5	5	0	0.00054949799999999983	0.00021554199999999986	2.5493778474728832	1	0	0	1	0	0	1	0	0	0	6.0179895518791705e-17
toroidal_large	toroidal	146	1016	1016	5	5	1	0.0013715920000000005	0.00030136900000000033	4.5512046693588228	1	0	0	1	0	0	1	0	0	0	1.0371668626950285e-16
spheroidal_large	spheroidal	860	14554	14554	18	18	0	0.0080362289999999989	0.0030963520000000006	2.5953861188908744	1	0	0	1	0	0	1	0	0	0	3.740561317121301e-23
spheroidal_large	spheroidal	860	14554	14554	18	18	1	0.020901116000000004	0.0043690410000000023	4.7839139069649361	1	0	0	1	0	0	1	0	0	0	6.6459809480386207e-23
spheroidal_fluid_solid_large	spheroidal_fluid_solid	860	14554	14554	18	18	0	0.0078135420000000014	0.0031019289999999994	2.5189299948515917	1	0	0	1	0	0	1	0	0	0	7.0881718594418698e-24
spheroidal_fluid_solid_large	spheroidal_fluid_solid	860	14554	14554	18	18	1	0.023703397000000001	0.0046801780000000019	5.064635789493475	1	0	0	1	0	0	1	0	0	0	6.7064452772648806e-24
