system	family	size	degree	nq	maxstep	nrows	ordering	symmetric	analyze_s	factorize_s	solve_s	nnz_A	kl	ku	lapack_envelope	nnz_L	nnz_U	info_analyze	info_factorize	info_solve	discrepancy	residual
radial_small	radial	small	0	4	0.14999999999999999	104	COLAMD	0	2.1152e-05	9.0344000000000001e-05	9.7739999999999999e-06	1024	7	7	2288	564	930	0	0	0	0	1.3397817474853314e-22
radial_small	radial	small	0	4	0.14999999999999999	104	NaturalOrdering	0	6.9700000000000002e-06	6.6389000000000004e-05	9.2639999999999997e-06	1024	7	7	2288	564	930	0	0	0	0	1.3397817474853314e-22
radial_small	radial	small	0	4	0.14999999999999999	104	COLAMD	1	1.8918000000000001e-05	6.5977999999999997e-05	9.0939999999999997e-06	1024	7	7	2288	564	930	0	0	0	0	1.3397817474853314e-22
radial_small	radial	small	0	4	0.14999999999999999	104	NaturalOrdering	1	5.4280000000000004e-06	6.5166999999999995e-05	8.2719999999999997e-06	1024	7	7	2288	564	930	0	0	0	0	1.3397817474853314e-22
toroidal_small	toroidal	small	12	4	0.14999999999999999	37	COLAMD	0	6.4489999999999996e-06	1.3910999999999999e-05	3.8460000000000001e-06	181	3	3	370	109	109	0	0	0	0	5.9160456558546587e-17
toroidal_small	toroidal	small	12	4	0.14999999999999999	37	NaturalOrdering	0	2.0829999999999998e-06	1.3831e-05	3.7960000000000002e-06	181	3	3	370	109	109	0	0	0	0	5.9160456558546587e-17
toroidal_small	toroidal	small	12	4	0.14999999999999999	37	COLAMD	1	5.2179999999999998e-06	1.4100999999999999e-05	3.4350000000000001e-06	181	3	3	370	109	109	0	0	0	0	5.9160456558546587e-17
toroidal_small	toroidal	small	12	4	0.14999999999999999	37	NaturalOrdering	1	1.4020000000000001e-06	1.3920999999999999e-05	3.365e-06	181	3	3	370	109	109	0	0	0	0	5.9160456558546587e-17
spheroidal_small	spheroidal	small	12	4	0.14999999999999999	158	COLAMD	0	3.9168000000000002e-05	0.00023440900000000001	4.6539000000000003e-05	1906	12	12	5846	1143	1896	0	0	0	0	3.5657287992080747e-23
spheroidal_small	spheroidal	small	12	4	0.14999999999999999	158	NaturalOrdering	0	1.2177999999999999e-05	0.00022867100000000001	3.5992999999999999e-05	1906	12	12	5846	1236	1805	0	0	0	1.4538791934979108e-13	2.5537740175657271e-23
spheroidal_small	spheroidal	small	12	4	0.14999999999999999	158	COLAMD	1	3.6735e-05	0.000231876	4.5207000000000003e-05	1906	12	12	5846	1143	1896	0	0	0	0	3.5657287992080747e-23
spheroidal_small	spheroidal	small	12	4	0.14999999999999999	158	NaturalOrdering	1	1.0325e-05	0.00021318800000000001	4.5466999999999997e-05	1906	12	12	5846	1236	1805	0	0	0	1.4538791934979108e-13	2.5537740175657271e-23
radial_medium	radial	medium	0	5	0.080000000000000002	170	COLAMD	0	3.5493000000000001e-05	0.000199557	1.5002e-05	2020	9	9	4760	1095	1775	0	0	0	0	9.3694592399178834e-23
radial_medium	radial	medium	0	5	0.080000000000000002	170	NaturalOrdering	0	1.2659e-05	0.00018786000000000001	1.4372000000000001e-05	2020	9	9	4760	1095	1775	0	0	0	0	9.3694592399178834e-23
radial_medium	radial	medium	0	5	0.080000000000000002	170	COLAMD	1	3.3349999999999997e-05	0.00019118499999999999	1.4341e-05	2020	9	9	4760	1095	1775	0	0	0	0	9.3694592399178834e-23
radial_medium	radial	medium	0	5	0.080000000000000002	170	NaturalOrdering	1	1.0736e-05	0.00018936199999999999	1.4100999999999999e-05	2020	9	9	4760	1095	1775	0	0	0	0	9.3694592399178834e-23
toroidal_medium	toroidal	medium	12	5	0.080000000000000002	53	COLAMD	0	9.0729999999999994e-06	1.9740000000000001e-05	4.9969999999999998e-06	313	4	4	689	183	183	0	0	0	0	6.5692076942497426e-17
toroidal_medium	toroidal	medium	12	5	0.080000000000000002	53	NaturalOrdering	0	2.6740000000000001e-06	1.9309000000000001e-05	4.8169999999999998e-06	313	4	4	689	183	183	0	0	0	0	6.5692076942497426e-17
toroidal_medium	toroidal	medium	12	5	0.080000000000000002	53	COLAMD	1	7.4209999999999998e-06	1.9868999999999999e-05	4.7779999999999998e-06	313	4	4	689	183	183	0	0	0	0	6.5692076942497426e-17
toroidal_medium	toroidal	medium	12	5	0.080000000000000002	53	NaturalOrdering	1	1.9829999999999999e-06	1.9619999999999998e-05	4.6160000000000004e-06	313	4	4	689	183	183	0	0	0	0	6.5692076942497426e-17
spheroidal_medium	spheroidal	medium	12	5	0.080000000000000002	257	COLAMD	0	6.5858000000000005e-05	0.00041582899999999999	7.9819000000000003e-05	3715	15	15	11822	2212	3764	0	0	0	0	1.6211277230878356e-23
spheroidal_medium	spheroidal	medium	12	5	0.080000000000000002	257	NaturalOrdering	0	2.2824e-05	0.00038933000000000001	7.8527000000000002e-05	3715	15	15	11822	2405	3430	0	0	0	1.0900852312974893e-13	2.3739438444646106e-23
spheroidal_medium	spheroidal	medium	12	5	0.080000000000000002	257	COLAMD	1	6.4585999999999995e-05	0.00042968900000000003	7.8877999999999999e-05	3715	15	15	11822	2212	3764	0	0	0	0	1.6211277230878356e-23
spheroidal_medium	spheroidal	medium	12	5	0.080000000000000002	257	NaturalOrdering	1	1.9979e-05	0.00038807799999999998	6.1141000000000003e-05	3715	15	15	11822	2405	3430	0	0	0	1.0900852312974893e-13	2.3739438444646106e-23
radial_large	radial	large	0	6	0.02	572	COLAMD	0	0.00013237700000000001	0.00065548600000000005	4.9864999999999998e-05	7984	11	11	19448	4278	6508	0	0	0	0	9.8039362653221648e-23
radial_large	radial	large	0	6	0.02	572	NaturalOrdering	0	4.9033000000000003e-05	0.00068933600000000003	4.8062000000000002e-05	7984	11	11	19448	4278	6508	0	0	0	0	9.8039362653221648e-23
radial_large	radial	large	0	6	0.02	572	COLAMD	1	0.000123394	0.000652522	4.9353e-05	7984	11	11	19448	4278	6508	0	0	0	0	9.8039362653221648e-23
radial_large	radial	large	0	6	0.02	572	NaturalOrdering	1	3.9709000000000002e-05	0.00065044899999999999	4.7049999999999998e-05	7984	11	11	19448	4278	6508	0	0	0	0	9.8039362653221648e-23
toroidal_large	toroidal	large	12	6	0.02	146	COLAMD	0	2.3966000000000001e-05	7.3730000000000001e-05	1.3339999999999999e-05	1016	5	5	2336	581	581	0	0	0	0	1.375788140840027e-16
toroidal_large	toroidal	large	12	6	0.02	146	NaturalOrdering	0	7.401e-06	0.000103154	1.2649e-05	1016	5	5	2336	581	581	0	0	0	0	1.375788140840027e-16
toroidal_large	toroidal	large	12	6	0.02	146	COLAMD	1	2.0670999999999999e-05	5.7164999999999999e-05	1.3179999999999999e-05	1016	5	5	2336	581	581	0	0	0	0	1.375788140840027e-16
toroidal_large	toroidal	large	12	6	0.02	146	NaturalOrdering	1	5.8289999999999996e-06	5.7204999999999999e-05	1.2709e-05	1016	5	5	2336	581	581	0	0	0	0	1.375788140840027e-16
spheroidal_large	spheroidal	large	12	6	0.02	860	COLAMD	0	0.00023298700000000001	0.001605731	0.000290413	14554	18	18	47300	8587	14557	0	0	0	0	1.507636295679885e-23
spheroidal_large	spheroidal	large	12	6	0.02	860	NaturalOrdering	0	7.9709000000000005e-05	0.0010513759999999999	0.00021648199999999999	14554	18	18	47300	9419	12427	0	0	0	2.8489337268527939e-12	1.4717469335369939e-23
spheroidal_large	spheroidal	large	12	6	0.02	860	COLAMD	1	0.00022921199999999999	0.001617028	0.000300377	14554	18	18	47300	8587	14557	0	0	0	0	1.507636295679885e-23
spheroidal_large	spheroidal	large	12	6	0.02	860	NaturalOrdering	1	7.1847000000000005e-05	0.0013732950000000001	0.000216753	14554	18	18	47300	9419	12427	0	0	0	2.8489337268527939e-12	1.4717469335369939e-23
spheroidal_fluid_solid_large	spheroidal_fluid_solid	large	40	6	0.02	860	COLAMD	0	0.000232246	0.0015585410000000001	0.000292045	14554	18	18	47300	8587	14619	0	0	0	0	2.3035491187814042e-24
spheroidal_fluid_solid_large	spheroidal_fluid_solid	large	40	6	0.02	860	NaturalOrdering	0	7.9297999999999999e-05	0.0014432500000000001	0.000227068	14554	18	18	47300	9390	13053	0	0	0	3.1554306833263633e-13	4.2157617350398143e-24
spheroidal_fluid_solid_large	spheroidal_fluid_solid	large	40	6	0.02	860	COLAMD	1	0.000229712	0.0015812650000000001	0.00028348199999999999	14554	18	18	47300	8587	14619	0	0	0	0	2.3035491187814042e-24
spheroidal_fluid_solid_large	spheroidal_fluid_solid	large	40	6	0.02	860	NaturalOrdering	1	7.2168000000000004e-05	0.0014662430000000001	0.000227059	14554	18	18	47300	9390	13053	0	0	0	3.1554306833263633e-13	4.2157617350398143e-24
spheroidal_max_max	spheroidal_max	max	40	6	0.01	1610	COLAMD	0	0.00043158299999999998	0.0029169740000000001	0.00052295900000000003	27304	18	18	88550	16087	26688	0	0	0	0	6.5367164752569308e-24
spheroidal_max_max	spheroidal_max	max	40	6	0.01	1610	NaturalOrdering	0	0.00014808099999999999	0.0018762640000000001	0.00041543899999999998	27304	18	18	88550	17617	23598	0	0	0	7.853201197798751e-13	3.0989427781760127e-24
spheroidal_max_max	spheroidal_max	max	40	6	0.01	1610	COLAMD	1	0.00042693599999999999	0.002109241	0.00055384499999999997	27304	18	18	88550	16087	26688	0	0	0	0	6.5367164752569308e-24
spheroidal_max_max	spheroidal_max	max	40	6	0.01	1610	NaturalOrdering	1	0.00014013900000000001	0.0019037150000000001	0.00042711600000000001	27304	18	18	88550	17617	23598	0	0	0	7.853201197798751e-13	3.0989427781760127e-24
