system	family	size	degree	nq	maxstep	nrows	ordering	symmetric	analyze_s	factorize_s	solve_s	nnz_A	kl	ku	lapack_envelope	nnz_L	nnz_U	info_analyze	info_factorize	info_solve	discrepancy	residual
radial_small	radial	small	0	4	0.14999999999999999	104	COLAMD	0	2.1522000000000002e-05	9.0054000000000002e-05	9.8339999999999994e-06	1024	7	7	2288	564	930	0	0	0	0	1.3397817474853314e-22
radial_small	radial	small	0	4	0.14999999999999999	104	NaturalOrdering	0	6.99e-06	6.5236999999999999e-05	9.6649999999999998e-06	1024	7	7	2288	564	930	0	0	0	0	1.3397817474853314e-22
radial_small	radial	small	0	4	0.14999999999999999	104	COLAMD	1	1.8998e-05	6.5888000000000003e-05	8.6729999999999998e-06	1024	7	7	2288	564	930	0	0	0	0	1.3397817474853314e-22
radial_small	radial	small	0	4	0.14999999999999999	104	NaturalOrdering	1	5.6380000000000001e-06	6.4416000000000001e-05	8.2819999999999996e-06	1024	7	7	2288	564	930	0	0	0	0	1.3397817474853314e-22
toroidal_small	toroidal	small	12	4	0.14999999999999999	37	COLAMD	0	6.5100000000000004e-06	1.4021e-05	4.296e-06	181	3	3	370	109	109	0	0	0	0	5.9160456558546587e-17
toroidal_small	toroidal	small	12	4	0.14999999999999999	37	NaturalOrdering	0	2.1730000000000002e-06	1.344e-05	3.856e-06	181	3	3	370	109	109	0	0	0	0	5.9160456558546587e-17
toroidal_small	toroidal	small	12	4	0.14999999999999999	37	COLAMD	1	5.0470000000000001e-06	1.3930999999999999e-05	3.4649999999999999e-06	181	3	3	370	109	109	0	0	0	0	5.9160456558546587e-17
toroidal_small	toroidal	small	12	4	0.14999999999999999	37	NaturalOrdering	1	1.362e-06	1.3781000000000001e-05	3.4649999999999999e-06	181	3	3	370	109	109	0	0	0	0	5.9160456558546587e-17
spheroidal_small	spheroidal	small	12	4	0.14999999999999999	158	COLAMD	0	3.7836000000000002e-05	0.00023399799999999999	4.3223999999999998e-05	1906	12	12	5846	1143	1896	0	0	0	0	3.5657287992080747e-23
spheroidal_small	spheroidal	small	12	4	0.14999999999999999	158	NaturalOrdering	0	1.2678e-05	0.00022638700000000001	3.5272999999999999e-05	1906	12	12	5846	1236	1805	0	0	0	1.4538791934979108e-13	2.5537740175657271e-23
spheroidal_small	spheroidal	small	12	4	0.14999999999999999	158	COLAMD	1	3.6773999999999997e-05	0.000240017	4.2352999999999999e-05	1906	12	12	5846	1143	1896	0	0	0	0	3.5657287992080747e-23
spheroidal_small	spheroidal	small	12	4	0.14999999999999999	158	NaturalOrdering	1	1.0064999999999999e-05	0.000216231	3.4782e-05	1906	12	12	5846	1236	1805	0	0	0	1.4538791934979108e-13	2.5537740175657271e-23
radial_medium	radial	medium	0	5	0.080000000000000002	170	COLAMD	0	3.4941999999999999e-05	0.00019719400000000001	1.4802e-05	2020	9	9	4760	1095	1775	0	0	0	0	9.3694592399178834e-23
radial_medium	radial	medium	0	5	0.080000000000000002	170	NaturalOrdering	0	1.2459e-05	0.00018760900000000001	1.4231e-05	2020	9	9	4760	1095	1775	0	0	0	0	9.3694592399178834e-23
radial_medium	radial	medium	0	5	0.080000000000000002	170	COLAMD	1	3.3318999999999997e-05	0.00018835	1.4462e-05	2020	9	9	4760	1095	1775	0	0	0	0	9.3694592399178834e-23
radial_medium	radial	medium	0	5	0.080000000000000002	170	NaturalOrdering	1	1.0535e-05	0.00018776	1.359e-05	2020	9	9	4760	1095	1775	0	0	0	0	9.3694592399178834e-23
toroidal_medium	toroidal	medium	12	5	0.080000000000000002	53	COLAMD	0	8.6330000000000002e-06	2.018e-05	5.2079999999999999e-06	313	4	4	689	183	183	0	0	0	0	6.5692076942497426e-17
toroidal_medium	toroidal	medium	12	5	0.080000000000000002	53	NaturalOrdering	0	2.734e-06	1.9309000000000001e-05	4.797e-06	313	4	4	689	183	183	0	0	0	0	6.5692076942497426e-17
toroidal_medium	toroidal	medium	12	5	0.080000000000000002	53	COLAMD	1	7.391e-06	2.001e-05	4.977e-06	313	4	4	689	183	183	0	0	0	0	6.5692076942497426e-17
toroidal_medium	toroidal	medium	12	5	0.080000000000000002	53	NaturalOrdering	1	1.933e-06	1.9307999999999999e-05	4.6569999999999996e-06	313	4	4	689	183	183	0	0	0	0	6.5692076942497426e-17
spheroidal_medium	spheroidal	medium	12	5	0.080000000000000002	257	COLAMD	0	6.4787000000000002e-05	0.00041026000000000002	7.9008e-05	3715	15	15	11822	2212	3764	0	0	0	0	1.6211277230878356e-23
spheroidal_medium	spheroidal	medium	12	5	0.080000000000000002	257	NaturalOrdering	0	2.2303e-05	0.00038950900000000001	6.0779999999999997e-05	3715	15	15	11822	2405	3430	0	0	0	1.0900852312974893e-13	2.3739438444646106e-23
spheroidal_medium	spheroidal	medium	12	5	0.080000000000000002	257	COLAMD	1	6.3775000000000005e-05	0.000425714	7.9688e-05	3715	15	15	11822	2212	3764	0	0	0	0	1.6211277230878356e-23
spheroidal_medium	spheroidal	medium	12	5	0.080000000000000002	257	NaturalOrdering	1	1.8627999999999999e-05	0.00038521300000000003	6.0430000000000002e-05	3715	15	15	11822	2405	3430	0	0	0	1.0900852312974893e-13	2.3739438444646106e-23
