validation_cases	6
validation_passed	6
pivot_exercising_cases	2
max_normalized_difference	6.3404322757154215e-16
max_normalized_residual	1.662432255418234e-16
threads	case	backend	seconds	n	kl	ku	nrhs	systems
1	n17	lapacke_zgbtrs	0.010055735999999999	17	4	4	3	4096
1	n17	eigen_custom	0.013227189	17	4	4	3	4096
benchmark_max_normalized_difference	n17	1	1.0825856418084443e-16
10	n17	lapacke_zgbtrs	0.043569897000000003	17	4	4	3	4096
10	n17	eigen_custom	0.0013826890000000001	17	4	4	3	4096
benchmark_max_normalized_difference	n17	10	1.0825856418084443e-16
32	n17	lapacke_zgbtrs	0.045491238000000003	17	4	4	3	4096
32	n17	eigen_custom	0.00044796700000000002	17	4	4	3	4096
benchmark_max_normalized_difference	n17	32	1.0825856418084443e-16
50	n17	lapacke_zgbtrs	0.045132955000000002	17	4	4	3	4096
50	n17	eigen_custom	0.000363521	17	4	4	3	4096
benchmark_max_normalized_difference	n17	50	1.0825856418084443e-16
1	n256	lapacke_zgbtrs	0.044370278999999999	256	8	8	3	1024
1	n256	eigen_custom	0.0621313	256	8	8	3	1024
benchmark_max_normalized_difference	n256	1	2.0187208432324972e-16
10	n256	lapacke_zgbtrs	0.013649738	256	8	8	3	1024
10	n256	eigen_custom	0.0095060869999999999	256	8	8	3	1024
benchmark_max_normalized_difference	n256	10	2.0187208432324972e-16
32	n256	lapacke_zgbtrs	0.013631961999999999	256	8	8	3	1024
32	n256	eigen_custom	0.0034007550000000001	256	8	8	3	1024
benchmark_max_normalized_difference	n256	32	2.0187208432324972e-16
50	n256	lapacke_zgbtrs	0.014013088999999999	256	8	8	3	1024
50	n256	eigen_custom	0.002976893	256	8	8	3	1024
benchmark_max_normalized_difference	n256	50	2.0187208432324972e-16
1	n1554	lapacke_zgbtrs	0.056307237000000003	1554	15	15	3	128
1	n1554	eigen_custom	0.068211435000000001	1554	15	15	3	128
benchmark_max_normalized_difference	n1554	1	2.0667368258797275e-16
10	n1554	lapacke_zgbtrs	0.0074885230000000004	1554	15	15	3	128
10	n1554	eigen_custom	0.0082498659999999998	1554	15	15	3	128
benchmark_max_normalized_difference	n1554	10	2.0667368258797275e-16
32	n1554	lapacke_zgbtrs	0.003200217	1554	15	15	3	128
32	n1554	eigen_custom	0.003291062	1554	15	15	3	128
benchmark_max_normalized_difference	n1554	32	2.0667368258797275e-16
50	n1554	lapacke_zgbtrs	0.002714082	1554	15	15	3	128
50	n1554	eigen_custom	0.0024972190000000002	1554	15	15	3	128
benchmark_max_normalized_difference	n1554	50	2.0667368258797275e-16
