threads	metric	seconds	n	kl	ku	nrhs	systems
1	zgbtrf_only	0.095459983999999998	1554	15	15	3	128
1	zgbtrs_only_allocate	0.056843551999999999	1554	15	15	3	128
1	zgbtrs_only_reused	0.057010571000000003	1554	15	15	3	128
1	zgbtrf_plus_zgbtrs	0.16261595600000001	1554	15	15	3	128
10	zgbtrf_only	0.0099226910000000008	1554	15	15	3	128
10	zgbtrs_only_allocate	0.0064257209999999997	1554	15	15	3	128
10	zgbtrs_only_reused	0.0063756170000000001	1554	15	15	3	128
10	zgbtrf_plus_zgbtrs	0.018006652000000001	1554	15	15	3	128
32	zgbtrf_only	0.0031314239999999998	1554	15	15	3	128
32	zgbtrs_only_allocate	0.002255791	1554	15	15	3	128
32	zgbtrs_only_reused	0.0021880990000000002	1554	15	15	3	128
32	zgbtrf_plus_zgbtrs	0.0057233850000000001	1554	15	15	3	128
50	zgbtrf_only	0.0025495270000000002	1554	15	15	3	128
50	zgbtrs_only_allocate	0.0020757509999999998	1554	15	15	3	128
50	zgbtrs_only_reused	0.0020275499999999999	1554	15	15	3	128
50	zgbtrf_plus_zgbtrs	0.004526693	1554	15	15	3	128
