threads	operation	interface	seconds	n	kl	ku	nrhs	systems	repeats	max_abs_difference
1	zgbtrs	high_level	0.15572559599999999	17	4	4	3	128	512	0
1	zgbtrs	work	0.14085357500000001	17	4	4	3	128	512	0
1	zgbtrf	high_level	0.00023515999999999999	17	4	4	3	128	1	0
1	zgbtrf	work	0.000196102	17	4	4	3	128	1	0
10	zgbtrs	high_level	0.69421008100000003	17	4	4	3	128	512	0
10	zgbtrs	work	0.71566209300000005	17	4	4	3	128	512	0
10	zgbtrf	high_level	3.4941999999999999e-05	17	4	4	3	128	1	0
10	zgbtrf	work	3.2858999999999998e-05	17	4	4	3	128	1	0
32	zgbtrs	high_level	0.69388502699999999	17	4	4	3	128	512	0
32	zgbtrs	work	0.68385139299999997	17	4	4	3	128	512	0
32	zgbtrf	high_level	3.6254000000000002e-05	17	4	4	3	128	1	0
32	zgbtrf	work	3.0786e-05	17	4	4	3	128	1	0
50	zgbtrs	high_level	0.67135774400000003	17	4	4	3	128	512	0
50	zgbtrs	work	0.65962960599999998	17	4	4	3	128	512	0
50	zgbtrf	high_level	2.7750999999999999e-05	17	4	4	3	128	1	0
50	zgbtrf	work	2.5337000000000002e-05	17	4	4	3	128	1	0
1	zgbtrs	high_level	0.17458845100000001	256	8	8	3	128	32	0
1	zgbtrs	work	0.14688358600000001	256	8	8	3	128	32	0
1	zgbtrf	high_level	0.0076089030000000002	256	8	8	3	128	1	0
1	zgbtrf	work	0.0070127549999999999	256	8	8	3	128	1	0
10	zgbtrs	high_level	0.049684072000000003	256	8	8	3	128	32	0
10	zgbtrs	work	0.053071807999999998	256	8	8	3	128	32	0
10	zgbtrf	high_level	0.001029524	256	8	8	3	128	1	0
10	zgbtrf	work	0.00094717100000000002	256	8	8	3	128	1	0
32	zgbtrs	high_level	0.043131731999999999	256	8	8	3	128	32	0
32	zgbtrs	work	0.042600892000000001	256	8	8	3	128	32	0
32	zgbtrf	high_level	0.00029829500000000002	256	8	8	3	128	1	0
32	zgbtrf	work	0.00027748300000000003	256	8	8	3	128	1	0
50	zgbtrs	high_level	0.041756203999999998	256	8	8	3	128	32	0
50	zgbtrs	work	0.041981479000000002	256	8	8	3	128	32	0
50	zgbtrf	high_level	0.000302811	256	8	8	3	128	1	0
50	zgbtrf	work	0.00027415799999999999	256	8	8	3	128	1	0
1	zgbtrs	high_level	0.057096422000000001	1554	15	15	3	128	1	0
1	zgbtrs	work	0.065763081000000001	1554	15	15	3	128	1	0
1	zgbtrf	high_level	0.10384209799999999	1554	15	15	3	128	1	0
1	zgbtrf	work	0.095492441999999997	1554	15	15	3	128	1	0
10	zgbtrs	high_level	0.0079320350000000005	1554	15	15	3	128	1	0
10	zgbtrs	work	0.006912446	1554	15	15	3	128	1	0
10	zgbtrf	high_level	0.015243553999999999	1554	15	15	3	128	1	0
10	zgbtrf	work	0.010299501000000001	1554	15	15	3	128	1	0
32	zgbtrs	high_level	0.002794202	1554	15	15	3	128	1	0
32	zgbtrs	work	0.0028793080000000001	1554	15	15	3	128	1	0
32	zgbtrf	high_level	0.0058754810000000001	1554	15	15	3	128	1	0
32	zgbtrf	work	0.0039205000000000004	1554	15	15	3	128	1	0
50	zgbtrs	high_level	0.010092062000000001	1554	15	15	3	128	1	0
50	zgbtrs	work	0.0027291350000000002	1554	15	15	3	128	1	0
50	zgbtrf	high_level	0.0056311169999999997	1554	15	15	3	128	1	0
50	zgbtrf	work	0.0047504859999999999	1554	15	15	3	128	1	0
