fmax_mHz	backend	repetition	seconds	rows	cols	norm	order
5	eigen	1	10.426364802	6	16385	2.3812146758686836e-05	1
5	eigen	2	10.535670918999999	6	16385	2.3812146758686836e-05	2
5	eigen	3	10.444170905	6	16385	2.3812146758686839e-05	3
5	lapack	1	10.209058283999999	6	16385	2.3812146758376107e-05	4
5	lapack	2	10.124039827000001	6	16385	2.3812146758376107e-05	5
5	lapack	3	10.136490047000001	6	16385	2.3812146758376107e-05	6
10	lapack	1	23.242594245999999	6	16385	0.00021242835930927956	7
10	lapack	2	23.190975903999998	6	16385	0.00021242835930927956	8
10	lapack	3	23.208992273	6	16385	0.00021242835930927956	9
10	eigen	1	23.571348295	6	16385	0.00021242835930964198	10
10	eigen	2	23.605002729999999	6	16385	0.00021242835930964198	11
10	eigen	3	23.585883401	6	16385	0.00021242835930964198	12
20	eigen	1	64.741517013000006	6	16385	0.0015014486366463852	13
20	eigen	2	64.791021096999998	6	16385	0.0015014486366463852	14
20	eigen	3	64.697963482999995	6	16385	0.0015014486366463852	15
20	lapack	1	62.955202227000001	6	16385	0.0015014486366430782	16
20	lapack	2	62.924380419999999	6	16385	0.0015014486366430782	17
20	lapack	3	63.026593697000003	6	16385	0.0015014486366430782	18
35	lapack	1	172.10155527200001	6	16385	0.011419649597481487	19
35	lapack	2	172.18328851800001	6	16385	0.011419649597481488	20
35	lapack	3	171.995823489	6	16385	0.011419649597481487	21
35	eigen	1	178.70395065100001	6	16385	0.011419649597482002	22
35	eigen	2	178.811525579	6	16385	0.011419649597482002	23
35	eigen	3	178.974413752	6	16385	0.011419649597482002	24
55	eigen	1	488.66920270999998	6	16385	0.063644591614107612	25
55	eigen	2	487.764797859	6	16385	0.063644591614107612	26
55	eigen	3	488.16761696700001	6	16385	0.063644591614107612	27
55	lapack	1	463.98034056099999	6	16385	0.063644591614103047	28
55	lapack	2	465.48093292599998	6	16385	0.063644591614103047	29
55	lapack	3	465.46901429799999	6	16385	0.063644591614103047	30
