system	family	freq_index	freq_mhz	n	nnz_a	repeats	eigen_setup_s	eigen_factor_s	eigen_solve_s	eigen_nnz_l	eigen_nnz_u	eigen_factor_info	eigen_solve_info	superlu_conversion_s	superlu_setup_s	superlu_dofact_s	superlu_samepattern_s	superlu_solve_s	superlu_nnz_l	superlu_nnz_u	superlu_dofact_info	superlu_factor_info	superlu_solve_info	lapack_factor_info	lapack_solve_info	eigen_residual	superlu_residual	lapack_residual	solution_discrepancy	eigen_vs_lapack	superlu_vs_lapack	finite
radial_small	radial	0	0.823974609375	110	1084	16	9.0240000000000003e-06	6.6506437500000003e-05	1.5403437500000002e-05	597	975	0	0	5.8100000000000003e-07	7.5909999999999998e-06	0.00017021399999999999	5.9937874999999999e-05	1.6649187500000002e-05	633	1041	0	0	0	0	0	4.6538091964744267e-21	9.4626840063909993e-21	3.0336168554972208e-21	5.071315518999016e-09	6.0981669005195998e-09	1.6357332604485543e-09	1
radial_small	radial	1	0.8544921875	110	1084	16	9.0240000000000003e-06	6.5434874999999997e-05	1.53546875e-05	597	975	0	0	6.0956249999999998e-07	7.5909999999999998e-06	0.00017021399999999999	6.0863124999999998e-05	1.6538999999999999e-05	633	1041	0	0	0	0	0	8.6168305362807175e-22	1.03775917140988e-21	1.2027399938571741e-21	6.4828346909665633e-10	2.7912647749121547e-10	5.5170514793930486e-10	1
toroidal_small	toroidal	0	1.8310546875	37	181	16	3.0740000000000001e-06	1.19189375e-05	3.6666874999999995e-06	109	109	0	0	1.3e-07	2.0530000000000001e-06	1.7796e-05	1.4466999999999999e-05	6.1079375000000005e-06	163	163	0	0	0	0	0	7.7673263117851704e-17	7.5428513799665545e-17	1.1420544300740359e-16	8.9489999423037051e-15	6.5398854490439506e-13	6.5864083717142369e-13	1
toroidal_small	toroidal	1	1.861572265625	37	181	16	3.0740000000000001e-06	1.1775625000000001e-05	3.6591249999999999e-06	109	109	0	0	1.1649999999999998e-07	2.0530000000000001e-06	1.7796e-05	1.4435875e-05	6.0158125000000001e-06	163	163	0	0	0	0	0	8.0351665905590068e-17	6.9416498151714976e-17	8.6806525222140491e-17	5.1047055377739549e-12	5.7422331764853063e-12	1.08469386443044e-11	1
spheroidal_small	spheroidal	0	0.30517578125	168	2022	16	1.2629000000000001e-05	0.00013694874999999998	2.8854749999999997e-05	1314	2073	0	0	9.4200000000000004e-07	1.1106e-05	0.00020409399999999999	0.000146223125	2.6849312500000001e-05	1395	2137	0	0	0	0	0	8.6202870157424016e-21	7.334448909885709e-21	5.8511109636003153e-21	3.1670931508778281e-08	3.7689078929598055e-09	3.482899387890527e-08	1
spheroidal_small	spheroidal	1	0.335693359375	168	2022	16	1.2629000000000001e-05	0.00013375212499999999	2.8753437499999994e-05	1314	2070	0	0	1.2580625000000002e-06	1.1106e-05	0.00020409399999999999	0.00014773368749999998	2.6828125000000003e-05	1395	2134	0	0	0	0	0	1.7281836178799518e-20	1.4897912687048999e-20	7.4091556604532243e-21	1.2741905790858115e-08	6.436612522003904e-09	6.3053087729396863e-09	1
spheroidal_medium	spheroidal	0	1.983642578125	270	3896	16	2.2574000000000001e-05	0.00025278812500000004	5.0313687500000002e-05	2523	3688	0	0	1.7829999999999999e-06	2.0339999999999998e-05	0.00032895	0.00024158081250000001	4.1462312499999995e-05	2523	3754	0	0	0	0	0	1.9323449328618578e-21	1.930823193985485e-21	3.3571559833311688e-21	1.7288026740434548e-09	1.379604768786547e-09	3.9316649413444193e-10	1
spheroidal_medium	spheroidal	1	2.01416015625	270	3896	16	2.2574000000000001e-05	0.00025251900000000004	4.9981937500000003e-05	2523	3688	0	0	1.9104375e-06	2.0339999999999998e-05	0.00032895	0.00024387399999999999	4.2533312499999992e-05	2523	3754	0	0	0	0	0	9.6721740067490883e-22	1.3291883680208428e-21	1.6596597741555554e-21	4.1960996126795728e-10	1.4823991202571283e-10	3.251195271523448e-10	1
spheroidal_large	spheroidal	0	1.983642578125	876	14814	16	7.9558e-05	0.00094182512500000002	0.00018731506249999999	9588	13318	0	0	7.6310000000000003e-06	7.2088000000000005e-05	0.0010477489999999999	0.00086988125000000006	0.00014078075	9588	13320	0	0	0	0	0	1.5790470013799058e-21	2.4320090281704261e-21	1.2384347055516632e-21	4.2756762704117784e-09	2.0336853739668655e-09	6.2984015194639281e-09	1
spheroidal_large	spheroidal	1	2.01416015625	876	14814	16	7.9558e-05	0.00093545768749999996	0.00019016168749999999	9588	13318	0	0	8.6708749999999985e-06	7.2088000000000005e-05	0.0010477489999999999	0.00086884549999999999	0.00014396618749999999	9588	13320	0	0	0	0	0	6.2675990603611973e-22	8.85533405745198e-22	6.2231711389837832e-22	6.963098668105759e-10	5.2267485360706666e-10	7.9746441966610006e-10	1
spheroidal_fluid_solid	spheroidal	0	4.730224609375	876	14814	16	7.8186e-05	0.0009525212500000001	0.00018816249999999997	9559	13039	0	0	6.951e-06	7.2497999999999996e-05	0.0010571129999999999	0.00096015768750000007	0.000142876375	9559	13131	0	0	0	0	0	1.8552757592792644e-22	5.0192836602654862e-22	1.6372316492812083e-22	6.103857737281671e-10	4.7099458543700706e-10	8.8241640095691327e-10	1
spheroidal_fluid_solid	spheroidal	1	4.7607421875	876	14814	16	7.8186e-05	0.00096668793749999998	0.00018977993749999999	9559	13059	0	0	9.0409374999999977e-06	7.2497999999999996e-05	0.0010571129999999999	0.00097250725000000004	0.00014316056249999998	9559	13131	0	0	0	0	0	1.0925483445423564e-22	1.0570923939685909e-22	1.4454666717727354e-22	2.2835391827212702e-09	2.4448128541616412e-09	3.2124394097893144e-10	1
spheroidal_max	spheroidal	0	4.730224609375	1626	27564	16	0.00014446500000000001	0.0018259128125000001	0.00034411956249999996	17786	23290	0	0	1.4371e-05	0.00013219699999999999	0.0022224570000000002	0.002194290375	0.00026366618750000003	17786	23362	0	0	0	0	0	2.6460249637610522e-22	2.3177718670441783e-22	1.6921780859860513e-22	3.6940100237883175e-10	3.7847350035219217e-10	5.0810641285667057e-10	1
