system	family	freq_index	freq_mhz	n	nnz_a	repeats	policy	ordering	eigen_setup_s	eigen_factor_s	eigen_solve_s	eigen_factor_info	eigen_solve_info	umf_symbolic_s	umf_numeric_s	umf_raw_solve_s	umf_refined_solve_s	umf_symbolic_status	umf_numeric_status	umf_raw_status	umf_refined_status	umf_strategy_used	umf_ordering_used	umf_was_scaled	umf_noff_diag	umf_lnz	umf_unz	umf_flops	umf_numeric_size	umf_peak_memory	umf_rcond	umf_raw_ir_steps	umf_refined_ir_steps	lapack_factor_info	lapack_solve_info	eigen_residual	umf_raw_residual	umf_refined_residual	lapack_residual	umf_raw_vs_eigen	umf_refined_vs_eigen	eigen_vs_lapack	umf_raw_vs_lapack	umf_refined_vs_lapack	transfer_raw_vs_eigen	transfer_refined_vs_eigen	finite
radial_small	radial	0	0.823974609375	110	1084	16	robust	natural	8.3229999999999998e-06	6.4671187500000014e-05	1.5444875e-05	0	0	4.0280000000000001e-05	9.2483812499999995e-05	1.8063624999999999e-05	0.00015211693749999999	0	0	0	0	3	5	1	77	593	695	26067	3123	11218	3.955834021300595e-05	0	3	0	0	4.6538091964744267e-21	5.055425079286547e-18	4.0567589486392773e-21	3.0336168554972208e-21	4.2830418600076565e-09	6.4005773606459284e-09	6.0981669005195998e-09	3.1719824805571958e-09	1.7269444780268419e-09	1.3232590976908185e-08	1.3518791307387935e-08	1
radial_small	radial	1	0.8544921875	110	1084	16	robust	natural	8.3229999999999998e-06	6.7178624999999996e-05	1.544425e-05	0	0	4.0280000000000001e-05	9.0897812500000013e-05	1.7946124999999999e-05	0.0001524060625	0	0	0	0	3	5	1	77	593	695	26067	3123	11218	3.9558512705176196e-05	0	3	0	0	8.6168305362807175e-22	6.1271139514745022e-18	1.2268366098754965e-21	1.2027399938571741e-21	9.9490988148335685e-10	3.3599572743036579e-10	2.7912647749121547e-10	8.3631838807864362e-10	2.1914164325462292e-10	1.0444930819114416e-09	8.3625319083338573e-10	1
radial_small	radial	0	0.823974609375	110	1084	16	default	natural	8.3229999999999998e-06	6.4800812499999995e-05	1.5377937499999996e-05	0	0	3.4601999999999998e-05	8.0434062499999977e-05	1.8745749999999999e-05	8.6834062499999983e-05	0	0	0	0	3	5	1	0	593	593	24051	2919	11218	9.0928100264306929e-05	0	0	0	0	4.6538091964744267e-21	6.5297719366878106e-21	6.5297719366878106e-21	3.0336168554972208e-21	6.3968162984012976e-09	6.3968162984012976e-09	6.0981669005195998e-09	1.7236688581787369e-09	1.7236688581787369e-09	1.3519958572056034e-08	1.3519958572056034e-08	1
radial_small	radial	1	0.8544921875	110	1084	16	default	natural	8.3229999999999998e-06	6.4066624999999989e-05	1.5316562499999999e-05	0	0	3.4601999999999998e-05	8.1105750000000002e-05	1.7980000000000004e-05	8.6619000000000019e-05	0	0	0	0	3	5	1	0	593	593	24051	2919	11218	9.0974894925194348e-05	0	0	0	0	8.6168305362807175e-22	2.18662359919267e-21	2.18662359919267e-21	1.2027399938571741e-21	3.3520011089842714e-10	3.3520011089842714e-10	2.7912647749121547e-10	2.1851806038644116e-10	2.1851806038644116e-10	8.3438657607847167e-10	8.3438657607847167e-10	1
radial_small	radial	0	0.823974609375	110	1084	16	robust	default_amd	8.3229999999999998e-06	6.4678062500000001e-05	1.5352874999999998e-05	0	0	2.7790999999999999e-05	9.941675000000001e-05	1.8408687499999998e-05	0.00015364924999999998	0	0	0	0	3	1	1	43	594	872	31044	3482	11217	1.563731288124316e-06	0	3	0	0	4.6538091964744267e-21	4.1600267451075609e-19	7.0030386995913156e-21	3.0336168554972208e-21	6.3505449818492236e-09	6.4055405056809916e-09	6.0981669005195998e-09	1.6822684199508957e-09	1.7313183365949966e-09	1.3500985026032634e-08	1.3515647601637325e-08	1
radial_small	radial	1	0.8544921875	110	1084	16	robust	default_amd	8.3229999999999998e-06	6.4265624999999992e-05	1.5319062500000001e-05	0	0	2.7790999999999999e-05	9.6164999999999985e-05	1.8289812499999996e-05	0.00015239593749999999	0	0	0	0	3	1	1	43	594	872	31044	3482	11217	1.5774544300255675e-06	0	3	0	0	8.6168305362807175e-22	6.70703626032666e-19	9.2569708723947554e-22	1.2027399938571741e-21	2.513148058014376e-10	3.3503300950370523e-10	2.7912647749121547e-10	2.1725050286931375e-10	2.1816204009969505e-10	8.3469905025363294e-10	8.3193480896965542e-10	1
radial_small	radial	0	0.823974609375	110	1084	16	default	default_amd	8.3229999999999998e-06	6.4532874999999998e-05	1.5355312499999996e-05	0	0	2.6789999999999999e-05	8.1915624999999973e-05	1.7089187500000001e-05	0.00012878100000000001	0	0	0	0	3	1	1	0	593	593	24051	2921	11217	0.00010289111913780534	0	2	0	0	4.6538091964744267e-21	6.0759922464892783e-21	5.2576548460705338e-21	3.0336168554972208e-21	6.3967206201100548e-09	6.3992381207899337e-09	6.0981669005195998e-09	1.7235316213163741e-09	1.7257524650086859e-09	1.351864385669882e-08	1.3520200826535313e-08	1
radial_small	radial	1	0.8544921875	110	1084	16	default	default_amd	8.3229999999999998e-06	6.4886000000000002e-05	1.5299562500000002e-05	0	0	2.6789999999999999e-05	8.2652249999999998e-05	1.7188125000000001e-05	0.00012927737500000001	0	0	0	0	3	1	1	2	593	609	24347	2956	11217	4.7780427779912864e-07	0	2	0	0	8.6168305362807175e-22	1.1801383175986611e-21	1.4521854956855288e-21	1.2027399938571741e-21	3.3553570145929119e-10	3.3544143096329255e-10	2.7912647749121547e-10	2.191164408503021e-10	2.1877057923136582e-10	8.363029837918761e-10	8.3863687272914515e-10	1
toroidal_small	toroidal	0	1.8310546875	37	181	16	robust	natural	2.7640000000000001e-06	1.1834437499999997e-05	3.6753749999999999e-06	0	0	1.2758999999999999e-05	2.5169500000000004e-05	4.6825624999999998e-06	3.2036374999999995e-05	0	0	0	0	3	5	1	22	109	124	2112	691	4984	0.00017176912819717214	0	2	0	0	7.7673263117851704e-17	7.9697881585992751e-17	6.4723526540893446e-17	1.1420544300740359e-16	9.5288719789830672e-13	1.032440341783392e-12	6.5398854490439506e-13	1.6068548076380688e-12	1.1448456880803058e-12	9.5298221962242363e-13	1.0561519347450229e-12	1
toroidal_small	toroidal	1	1.861572265625	37	181	16	robust	natural	2.7640000000000001e-06	1.2073562499999996e-05	3.7098750000000002e-06	0	0	1.2758999999999999e-05	2.5591250000000003e-05	4.6438124999999995e-06	2.3978937499999998e-05	0	0	0	0	3	5	1	22	109	124	2112	691	4984	4.384490399733218e-05	0	1	0	0	8.0351665905590068e-17	8.6265708235520932e-17	6.5608193415909912e-17	8.6806525222140491e-17	8.3560940812051918e-13	1.7470503352824664e-12	5.7422331764853063e-12	6.5778276216611302e-12	7.485468534529365e-12	8.3549197217648637e-13	3.2476280236686177e-12	1
